,context
137,"Môn học có mã Kỹ năng giao tiếp là SPCH2713, tập trung vào việc hoàn thiện các kỹ năng thiết yếu trong môi trường làm việc. Nó cung cấp nền tảng lý thuyết và thực hành về lập kế hoạch, chuẩn bị, trình bày, báo cáo, đề xuất và hợp tác, giúp sinh viên phát triển năng lực giao tiếp hiệu quả trong các ngữ cảnh nghề nghiệp khác nhau."
138,"Môn IE105, còn được gọi là Nhập môn bảo đảm và an ninh thông tin, cung cấp các kiến thức cơ bản toàn diện về bảo đảm và an ninh thông tin. Nội dung của môn học bao gồm các nguyên tắc an ninh mạng nền tảng, phương pháp bảo vệ mạng máy tính và xây dựng hệ thống tổ chức an toàn, kiểm soát quyền truy cập, ngăn chặn tấn công hệ thống và đối phó với các cuộc tấn công botnet. Môn học cũng đề cập đến các vấn đề bảo vệ hệ thống mạng khỏi phần mềm độc hại, an ninh mạng trên các hệ điều hành Windows, Unix/Linux, bảo mật mạng truyền dẫn và các loại mạng như LAN, mạng không dây và mạng di động."
139,"Môn Tiếng Anh chuyên ngành CNTT, được mã hóa là SPCH3723, tập trung vào việc cung cấp nền tảng từ vựng và khái niệm chuyên ngành máy tính. Mục tiêu của môn học là tạo điều kiện cho sinh viên tiếp thu kiến thức chuyên môn một cách hiệu quả thông qua các tài liệu chuyên ngành, đồng thời trau dồi kỹ năng trình bày báo cáo khoa học."
140,"Cử nhân ngành An toàn Thông tin (Áp dụng từ khóa 18 - 2023) Sinh viên tốt nghiệp ngành An toàn thông tin nắm vững kiến thức cơ bản và chuyên sâu về đảm bảo an toàn thông tin cho các hệ thống thông tin, hạ tầng mạng, đáp ứng yêu cầu về nghiên cứu, ứng dụng, có khả năng áp dụng các kiến thức bảo mật vào thiết kế, cài đặt, đánh giá, vận hành hệ thống thông tin. Ngoài ra, chương trình đào tạo cũng tập trung trang bị cho người học các kỹ năng và thái độ đảm bảo sinh viên tốt nghiệp có khả năng làm việc nhóm, phẩm chất chính trị tốt, ý thức tổ chức kỷ luật và có đạo đức nghề nghiệp."
141,"Môn học CE435 - Chuyên đề thiết kế hệ vi mạch 2, nhằm mục tiêu kết hợp với doanh nghiệp trong việc đào tạo công nghệ mới để đáp ứng yêu cầu của thị trường lao động. Nội dung môn học sẽ được ban hành cụ thể theo từng học kỳ đào tạo và có định dạng giống theo đề cương môn học này. Nội dung chính dự kiến bao gồm: giới thiệu và cập nhật các công nghệ vi mạch hiện đại, giới thiệu công nghệ thiết kế, hiện thực và kiểm tra một lõi IP hoặc một IC theo định hướng VLSI. Sinh viên cần hiện thực một lõi IP hoặc một IC ứng dụng công nghệ mới để nắm bắt qui trình thiết kế, hiện thực và kiểm tra vi mạch thiết kế như tại doanh nghiệp."
142,Môn Cấu trúc dữ liệu và giải thuật (IT003) giới thiệu vai trò quan trọng của giải thuật và tổ chức dữ liệu - những thành tố cơ bản trong mọi chương trình. Sinh viên sẽ khám phá và vận dụng các giải thuật và cấu trúc dữ liệu thường dùng để giải quyết các vấn đề trong lĩnh vực khoa học máy tính. Môn học này củng cố và nâng cao kỹ năng lập trình đã học ở các khóa trước.
143,Cử nhân ngành Công nghệ Thông tin (Áp dụng từ Khoá 18 - 2023) cử nhân văn bằng đại học thứ 2. Hình thức đào tạo: Chính quy tập trung. Số tín chỉ đào tạo: Tối thiểu 74 tín chỉ (bao gồm cả ngoại ngữ). Thời gian đào tạo: 2.5 năm (5 học kỳ chính).
144,"Môn CS431 có tên gọi đầy đủ là ""Các kĩ thuật học sâu và ứng dụng"". Môn học này giới thiệu những kiến thức nền tảng về học máy, đồng thời tập trung vào các phương pháp học máy hiện đại như học sâu (Deep Learning). Thông qua môn học, sinh viên sẽ được trang bị kiến thức để triển khai thuật toán huấn luyện Gradient Descent và sử dụng nó để huấn luyện mạng nơ-ron (Neural Network - NN), hiểu về cấu trúc mạng nơ-ron tích chập (Convolutional Neural Network - CNN) trong bài toán phân loại đối tượng, kỹ thuật huấn luyện lại mạng CNN cho dữ liệu mới và các ứng dụng của mạng CNN trong các bài toán như nhận dạng khuôn mặt, phát hiện đối tượng và truy vấn đối tượng."
145,"Môn Tổ chức và Cấu trúc Máy tính II (mã IT012) cung cấp những hiểu biết cơ bản về kiến trúc máy tính, bao gồm:

- Biến đổi lịch sử và công nghệ trong sự phát triển của máy tính
- Hoạt động và nguyên lý đằng sau các thành phần máy tính
- Cách dữ liệu được biểu diễn và xử lý trong máy tính
- Phân tích mạch số cơ bản
- Kiến trúc tập lệnh, lập trình ngôn ngữ máy
- Các nguyên tắc hoạt động của bộ xử lý"
146,"Môn học CS105 là môn học về Đồ họa máy tính. Nội dung môn học tập trung vào các kiến thức căn bản về đồ hoạ 2D và 3D, bao gồm vẽ hình, biến đổi, phép chiếu và hiển thị hình ảnh trên máy tính."
147,"Môn Phát triển ứng dụng VR với mã số SE352 cung cấp cho sinh viên những kiến thức chuyên sâu về công nghệ Virtual Reality (VR) và hướng dẫn cách xây dựng ứng dụng VR dựa trên nền tảng Unity 3D. Thông qua việc học lập trình phần mềm VR, sinh viên có khả năng phát triển nhiều loại ứng dụng VR như trò chơi, mô hình kiến trúc, môi trường thực tế ảo giả lập."
148,"Môn học CS313 là môn học về Khai thác dữ liệu và ứng dụng. Nội dung môn học tập trung vào việc cung cấp kiến thức và kỹ thuật khai thác dữ liệu để tìm ra tri thức quý báu từ các kho dữ liệu. Mối quan hệ giữa việc rút trích tri thức và quyết định, hoạch định chính sách sẽ được thảo luận thông qua nhiều ứng dụng thực tế. Trong môn học này, sinh viên sẽ được tìm hiểu về vai trò của khai thác dữ liệu, quá trình chuẩn bị dữ liệu, dự đoán/mô tả dữ liệu và các ứng dụng đi kèm, cùng với các vấn đề đang được quan tâm và giải quyết."
149,"Phần học Khoa học phương pháp quản lý có mã khóa học là MSIS3233. Tóm tắt nội dung khóa học: Khóa học này đề cập đến việc đưa ra quyết định trong bối cảnh quản lý, kết hợp một số phương án tiếp cận có hệ thống để đưa ra quyết định trong những vấn đề mà các nhà quản lý thường gặp. Trong thế giới hiện đại, sự mách bảo khi ra quyết định có thể dẫn ta đến những chỉ dẫn không an toàn. Điểm nổi bật của khoa học quản lý là xây dựng một mô hình cụ thể, đơn giản hóa các khía cạnh liên quan của tiến trình ra quyết định, các mô hình như vậy thường dựa trên các phương pháp toán học định lượng."
150,"Môn học ""Ứng dụng của xử lý ngôn ngữ tự nhiên"" với mã CS524, tập trung vào các vấn đề thực tế trong xử lý văn bản và giải quyết bằng các mô hình và ứng dụng phù hợp. Trong môn học này, sinh viên vận dụng kiến thức về xử lý ngôn ngữ tự nhiên để tìm giải pháp cho từng vấn đề. Ở giai đoạn sau, sinh viên thiết kế mô hình, xây dựng ứng dụng, có thể tận dụng thư viện phần mềm xử lý ngôn ngữ tự nhiên hoặc phát triển phần mềm hoàn chỉnh để xử lý vấn đề đã chọn."
151,"Môn Đánh giá hiệu năng hệ thống mạng máy tính (mã môn NT531) cung cấp kiến thức toàn diện về đánh giá hiệu suất mạng. Nội dung chính bao gồm các mô hình đánh giá, đặc điểm của các kiến trúc mạng, phương pháp đo và khái niệm liên quan. Các công cụ hỗ trợ đánh giá hiệu suất cũng sẽ được giới thiệu. Môn học tập trung vào các kỹ thuật mô hình hóa phân tích nhằm dự đoán và xác nhận các tiêu chí thiết kế hệ thống máy tính và mạng. Các chủ đề chính bao gồm: ứng dụng mô hình hóa hiệu suất, mô hình hóa phân tích và mô phỏng, quá trình ngẫu nhiên, lý thuyết hàng cơ bản trong hệ thống máy tính và mạng, cũng như phương pháp giải quyết các mô hình phân tích hiệu suất."
152,"Môn học CE434 - Chuyên đề thiết kế hệ vi mạch 1, nhằm mục tiêu kết hợp với Doanh nghiệp trong việc đào tạo công nghệ mới để đáp ứng yêu cầu của thị trường lao động. Nội dung chi tiết của môn học sẽ được ban hành tùy theo từng học kỳ đào tạo và có định dạng giống theo đề cương môn học này. Nội dung chính dự kiến bao gồm: giới thiệu các giai đoạn để thiết kế một lõi IP hoặc một chip xử lý theo hướng FPGA hoặc ASIC, cung cấp ví dụ thiết kế cụ thể và trình bày cách tiến hành từng giai đoạn thiết kế, sử dụng phần mềm chuyên dụng để hiện thực thiết kế trong từng giai đoạn nhằm giúp sinh viên có cái nhìn thực tế về qui trình thiết kế trong một công ty."
153,"Môn học Đại số tuyến tính có mã MA003, là môn học nền tảng bắt buộc cho tất cả sinh viên. Nội dung môn học trang bị cho sinh viên các khái niệm và kỹ thuật liên quan đến:
- Ma trận, hạng, định thức
- Hệ phương trình tuyến tính và các phương pháp giải như Cramer, Gauss, Gauss-Jordan
- Không gian vectơ, phụ thuộc, độc lập tuyến tính, tập sinh, cơ sở, chiều không gian
- Ma trận chéo hóa và ý nghĩa của nó
- Ánh xạ tuyến tính, toán tử tuyến tính
- Dạng toàn phương và phép đưa dạng toàn phương về dạng chính tắc
- Từ đó, sinh viên có thể tiếp tục học các môn chuyên ngành hoặc phục vụ quá trình làm khóa luận tốt nghiệp."
154,"Môn IT008 có tên đầy đủ là Lập trình trực quan, cung cấp kiến thức và kỹ thuật lập trình bằng giao diện trực quan trên hệ điều hành Windows. Nội dung học tập bao gồm những phương pháp và quy trình tạo ứng dụng Windows, xử lý tin nhắn, sử dụng giao diện điều khiển, quản lý bộ nhớ, liên kết thư viện động và lập trình đa nhiệm."
